iter	Logloss
0	0.6734903288
1	0.6555221166
2	0.6380222368
3	0.6225302534
4	0.6077307187
5	0.5944547942
6	0.5821168949
7	0.570549304
8	0.5599389742
9	0.5497701702
10	0.5403922604
11	0.5319076706
12	0.5241525392
13	0.5160622453
14	0.5087516772
15	0.5020860735
16	0.4961946951
17	0.4908241811
18	0.4852510269
19	0.4797389122
20	0.4743595079
21	0.469474565
22	0.4655278531
23	0.4617110069
24	0.4576203441
25	0.4539875006
26	0.4509824251
27	0.447950175
28	0.445007882
29	0.4424789988
30	0.4391706813
31	0.4364158365
32	0.4339155748
33	0.4316683768
34	0.429491082
35	0.4273793269
36	0.4250992538
37	0.4229330544
38	0.4208508966
39	0.4187672108
40	0.4169661414
41	0.4149111689
42	0.4127390964
43	0.4108579386
44	0.4090977935
45	0.4076576969
46	0.4059853703
47	0.4045907746
48	0.403116945
49	0.4014459498
50	0.4002476652
51	0.3990131288
52	0.3977871918
53	0.3966781531
54	0.3953860988
55	0.393646058
56	0.3925010656
57	0.3912513376
58	0.3898506161
59	0.3884574258
60	0.3874717383
61	0.3865871051
62	0.3855691907
63	0.3836595694
64	0.3824634323
65	0.3814813876
66	0.3803423994
67	0.3790096637
68	0.3778681765
69	0.3763263496
70	0.3755475338
71	0.3748826007
72	0.3740665723
73	0.3733087834
74	0.372578337
75	0.3717322869
76	0.3709356961
77	0.3697532071
78	0.3690785614
79	0.3686533719
80	0.3680326617
81	0.3670698318
82	0.3658676398
83	0.3652114241
84	0.3644314136
85	0.3638389143
86	0.3631760524
87	0.3623204999
88	0.3617745977
89	0.3606213595
90	0.3601715218
91	0.3592214084
92	0.3582438605
93	0.3576684102
94	0.3569814374
95	0.3564761387
96	0.3559789572
97	0.3555261956
98	0.3548757759
99	0.3545198587
100	0.3538544564
101	0.3533595024
102	0.3527822131
103	0.3523140831
104	0.3519373517
105	0.3514548302
106	0.3509370682
107	0.3503649076
108	0.3498603232
109	0.3496166018
110	0.349163918
111	0.3487280828
112	0.3483165952
113	0.3479146589
114	0.3473850164
115	0.3470344197
116	0.3467331656
117	0.3463940935
118	0.3460099834
119	0.345543374
120	0.3449644858
121	0.3446285486
122	0.3440822694
123	0.34377284
124	0.343390694
125	0.3430584199
126	0.3427005031
127	0.3421109995
128	0.3415911478
129	0.3412029372
130	0.3408701882
131	0.3406126508
132	0.3402477187
133	0.3398285479
134	0.3396400088
135	0.339410001
136	0.3392497116
137	0.3389157851
138	0.3384764449
139	0.3376777543
140	0.3374376925
141	0.3372225109
142	0.3368372214
143	0.3365406186
144	0.336271063
145	0.3354100332
146	0.3349897801
147	0.3344109879
148	0.3340015191
149	0.3336256024
150	0.3333616996
151	0.3330998618
152	0.3330194145
153	0.3328306778
154	0.3321103733
155	0.3319249299
156	0.3317821402
157	0.331504597
158	0.3308683502
159	0.3306832027
160	0.3300903323
161	0.3294897241
162	0.3293101845
163	0.3288933477
164	0.3284738443
165	0.3276882589
166	0.3272225518
167	0.3269028684
168	0.3266658423
169	0.3265629052
170	0.3263474446
171	0.3258955634
172	0.3256912823
173	0.3253499964
174	0.3250091922
175	0.3247333828
176	0.3245875389
177	0.3242768297
178	0.3239105477
179	0.3237267984
180	0.323550483
181	0.3232043786
182	0.3229174795
183	0.3220807103
184	0.3218360182
185	0.3217576483
186	0.3215688339
187	0.3208519614
188	0.3206963623
189	0.3204614699
190	0.3201964488
191	0.320097977
192	0.3196661351
193	0.3194170802
194	0.3193703371
195	0.3191979774
196	0.3189987253
197	0.3188051945
198	0.3182335684
199	0.3179265079
200	0.3177451066
201	0.31759867
202	0.3169089337
203	0.3167576169
204	0.3165348962
205	0.316365737
206	0.3161261557
207	0.3160214664
208	0.3156751241
209	0.3154416555
210	0.315214729
211	0.3149598263
212	0.3147090335
213	0.3146085888
214	0.314484615
215	0.3139384889
216	0.3138127473
217	0.313713931
218	0.3133979827
219	0.3133304897
220	0.3130369772
221	0.3126746238
222	0.3125154774
223	0.3122781053
224	0.3120317825
225	0.3119811967
226	0.3118596399
227	0.3117610699
228	0.311546942
229	0.3113894787
230	0.3113115207
231	0.3110552416
232	0.3108272711
233	0.3105849844
234	0.3102801933
235	0.3098000916
236	0.3095871894
237	0.3095115745
238	0.3092033501
239	0.3086436117
240	0.3084104655
241	0.3081283896
242	0.3079177959
243	0.3077011792
244	0.3074129022
245	0.3072300883
246	0.3070979505
247	0.3070278015
248	0.3067930323
249	0.3066515329
250	0.3066028994
251	0.3064035148
252	0.3063082738
253	0.3061958866
254	0.306033099
255	0.3059245126
256	0.3058995678
257	0.3056366957
258	0.3053788472
259	0.305207484
260	0.3046851464
261	0.3046202491
262	0.3043711478
263	0.3039887207
264	0.3038613046
265	0.3035300417
266	0.303337774
267	0.3032654659
268	0.3031354818
269	0.3027813569
270	0.3025500407
271	0.3023594282
272	0.3022088294
273	0.3020469035
274	0.3018367321
275	0.3017410865
276	0.3009529123
277	0.3008692167
278	0.3004434222
279	0.2998168967
280	0.2995306345
281	0.2994440847
282	0.2992543623
283	0.2990502016
284	0.2989300611
285	0.2988147905
286	0.298636213
287	0.2981550411
288	0.2981075358
289	0.2979399074
290	0.2978734944
291	0.2977007094
292	0.2970887521
293	0.2969656168
294	0.2968114927
295	0.296336245
296	0.2961503665
297	0.2958904337
298	0.2957785229
299	0.2955804946
300	0.2954286441
301	0.2952266675
302	0.2949873948
303	0.2947308709
304	0.2945293766
305	0.2942834318
306	0.2940584809
307	0.2936733841
308	0.2934735075
309	0.2933623516
310	0.2932681776
311	0.2929759796
312	0.2928546043
313	0.2920696055
314	0.2916727366
315	0.2915930484
316	0.2913788593
317	0.2911211251
318	0.2908119693
319	0.2899736533
320	0.289505238
321	0.2889450244
322	0.2888401152
323	0.2886316875
324	0.2880935974
325	0.2880350837
326	0.2879382726
327	0.287852635
328	0.2875307374
329	0.2866826545
330	0.2858812263
331	0.2854336821
332	0.2853669239
333	0.2852741762
334	0.285093324
335	0.2849487705
336	0.2846340167
337	0.2844601681
338	0.2843304829
339	0.2840125607
340	0.2834729133
341	0.283131588
342	0.2826962833
343	0.2824754886
344	0.2823528759
345	0.2819682233
346	0.2815598654
347	0.2812787325
348	0.2809963989
349	0.2807525802
350	0.2805485094
351	0.280141801
352	0.2798223574
