iter	Passed	Remaining
0	247	315262
1	291	185676
2	333	141461
3	400	127322
4	443	112721
5	488	103240
6	541	98024
7	589	93313
8	644	90609
9	693	87738
10	752	86494
11	800	84291
12	849	82425
13	903	81394
14	952	79972
15	1001	78769
16	1060	78505
17	1110	77576
18	1163	76902
19	1223	76802
20	1276	76238
21	1329	75745
22	1391	75764
23	1443	75226
24	1495	74793
25	1554	74675
26	1608	74335
27	1667	74254
28	1718	73829
29	1777	73770
30	1831	73498
31	1890	73420
32	1941	73069
33	1992	72721
34	2052	72729
35	2104	72446
36	2165	72461
37	2216	72166
38	2224	70485
39	2283	70509
40	2334	70271
41	2387	70095
42	2448	70138
43	2499	69936
44	2550	69718
45	2610	69753
46	2661	69549
47	2712	69345
48	2784	69671
49	2834	69450
50	2885	69263
51	2944	69263
52	2995	69076
53	3053	69047
54	3105	68882
55	3158	68746
56	3220	68814
57	3273	68682
58	3325	68536
59	3376	68381
60	3435	68381
61	3486	68216
62	3546	68236
63	3598	68082
64	3648	67915
65	3707	67920
66	3766	67911
67	3829	67977
68	3900	68177
69	3958	68144
70	4015	68094
71	4080	68184
72	4135	68088
73	4197	68130
74	4251	68025
75	4306	67937
76	4366	67940
77	4419	67824
78	4471	67692
79	4530	67677
80	4582	67552
81	4641	67521
82	4693	67412
83	4746	67300
84	4807	67310
85	4857	67161
86	4907	67012
87	4965	66979
88	5018	66877
89	5070	66756
90	5128	66721
91	5177	66580
92	5228	66446
93	5287	66427
94	5338	66305
95	5398	66299
96	5450	66188
97	5499	66054
98	5557	66011
99	5606	65882
100	5658	65773
101	5722	65803
102	5772	65683
103	5820	65532
104	5875	65473
105	5923	65324
106	5973	65206
107	6026	65124
108	6075	64990
109	6124	64866
110	6178	64787
111	6227	64666
112	6276	64538
113	6329	64465
114	6379	64349
115	6434	64284
116	6483	64173
117	6536	64086
118	6587	63992
119	6638	63892
120	6699	63894
121	6747	63765
122	6795	63648
123	6851	63596
124	6900	63481
125	6950	63384
126	7005	63328
127	7054	63215
128	7105	63124
129	7164	63099
130	7214	62999
131	7268	62940
132	7320	62855
133	7370	62761
134	7429	62735
135	7479	62643
136	7532	62568
137	7583	62481
138	7635	62398
139	7692	62364
140	7743	62281
141	7796	62204
142	7853	62167
143	7902	62066
144	7958	62021
145	8010	61944
146	8066	61901
147	8116	61804
148	8172	61758
149	8222	61671
150	8273	61587
151	8324	61505
152	8382	61470
153	8432	61380
154	8482	61295
155	8539	61251
156	8590	61171
157	8642	61099
158	8699	61058
159	8749	60976
160	8808	60948
161	8871	60949
162	8933	60943
163	8999	60963
164	9057	60931
165	9113	60883
166	9174	60868
167	9231	60827
168	9286	60773
169	9347	60758
170	9399	60682
171	9453	60624
172	9515	60611
173	9567	60539
174	9619	60467
175	9677	60426
176	9728	60350
177	9780	60275
178	9837	60236
179	9889	60159
180	9943	60101
181	9994	60023
182	10014	59759
183	10065	59683
184	10116	59607
185	10172	59559
186	10224	59488
187	10274	59404
188	10330	59359
189	10381	59281
190	10436	59231
191	10484	59138
192	10535	59064
193	10591	59019
194	10643	58951
195	10695	58877
196	10749	58824
197	10798	58736
198	10852	58680
199	10901	58595
200	10952	58524
201	11012	58496
202	11062	58420
203	11112	58341
204	11167	58290
205	11215	58201
206	11266	58130
207	11322	58080
208	11371	58001
209	11419	57912
210	11473	57858
211	11523	57779
212	11571	57693
213	11624	57632
214	11672	57546
215	11723	57476
216	11770	57389
217	11821	57316
218	11870	57236
219	11919	57160
220	11976	57117
221	12026	57044
222	12075	56966
223	12131	56921
224	12182	56853
225	12233	56784
226	12290	56739
227	12340	56667
228	12391	56602
229	12449	56564
230	12500	56494
231	12557	56455
232	12609	56389
233	12659	56319
234	12716	56279
235	12767	56211
236	12818	56143
237	12876	56106
238	12927	56035
239	12977	55965
240	13034	55923
241	13086	55860
242	13141	55812
243	13193	55745
244	13250	55704
245	13300	55634
246	13356	55589
247	13407	55522
248	13457	55452
249	13513	55404
250	13563	55336
251	13620	55293
252	13671	55226
253	13728	55185
254	13780	55120
255	13830	55050
256	13888	55014
257	13939	54946
258	13996	54906
259	14048	54841
260	14104	54796
